,x,y,mean,med,lb,ub,pred_mean,pred_med,pred_lb,pred_ub
0,11.020765,1.5500002,1.392119052732455,1.3916738,1.3029138115137342,1.4838548246721168,1.3932711948315863,1.3916738,1.226365263017522,1.5692565710352726
1,10.302676,1.25,1.228174198872006,1.2276194,1.1322816417883983,1.3272198834350997,1.2292473784429743,1.2276194,1.0668259735379233,1.400922137319244
2,9.395068,1.1300001,1.2572935935817577,1.2541099,1.031185653279663,1.5015001707698379,1.2583807982408626,1.2541099,0.9980211816326781,1.543021718314511
3,12.112238,1.5700002,1.3333023937811848,1.3314619,1.1568122707987074,1.5202539389929126,1.3344262073785091,1.3314619,1.1121158860223255,1.5735873003566971
4,10.674608,1.3900001,1.344973257517204,1.3445139,1.255294890018368,1.4372623816936083,1.346102692278503,1.3445139,1.1813265263622457,1.5199094810598592
5,10.171427,1.24,1.1841353073731171,1.1835458,1.0863369630213366,1.2852839531178408,1.1851872760177997,1.1835458,1.0237781286899845,1.3559264302730512
6,10.805844,1.5700002,1.3716134170212895,1.3711643,1.282419356071471,1.4633598670167647,1.3727556827699328,1.3711643,1.206891278688417,1.5476652591559397
7,10.348641,1.1500003,1.2441743426973169,1.2436357,1.1493170486377142,1.342093249159062,1.2452552285901226,1.2436357,1.0826448523977965,1.4170712275408959
8,10.660536,1.25,1.341520594054558,1.3410597,1.2517608215982228,1.433899904026156,1.3426483658723156,1.3410597,1.1780027396611907,1.516323945685361
9,9.540687,1.21,1.169250205593087,1.1680291,1.0300160948858266,1.31542501548395,1.1702950049656584,1.1680291,0.9822463117093336,1.3712240099367214
10,9.850119,1.29,1.116460060733591,1.1159489,1.0267316887067799,1.2090935064939283,1.1174794342193355,1.1159489,0.9639711817264012,1.2796871230014522
11,11.698295,1.5100002,1.338550079016053,1.3373644,1.1959244099700603,1.4879146468403448,1.339676420112614,1.3373644,1.1422760650035588,1.5502187099820297
12,13.540049,1.7000003,2.0406474520687645,2.0390203,1.8502461030580881,2.2402971706075006,2.042111951895453,2.0390203,1.781938640336917,2.3198591260645705
13,10.646455,1.1399999,1.3379572303636191,1.3374946,1.2481030026461748,1.4304407108938904,1.3390832859200903,1.3374946,1.1745666822797753,1.512629805486501
14,9.8687,1.1799994,1.117780413010153,1.1172626,1.0274495919539857,1.2110541948825952,1.1188004224314048,1.1172626,0.9648872147239107,1.2814545749043167
15,10.445542,1.2700002,1.277452677700464,1.2769468,1.1847930309642134,1.3729875459304308,1.2785495917966752,1.2769468,1.1155320587774327,1.4506774224493646
16,9.806355,1.1500003,1.1150405889236654,1.1145387,1.0261431358410134,1.2067906783492663,1.1160592787338928,1.1145387,0.9630878518570756,1.2776738091193862
17,9.246909,1.0800002,1.4013539088227396,1.3935196,1.0427832788227578,1.8044757984401882,1.4025104983463592,1.3935196,1.0198835965760473,1.836270504215181
18,10.095398,1.3600004,1.1613447751131085,1.1607518,1.063785097905133,1.2622745123461083,1.1623857669079354,1.1607518,1.0022015441369065,1.3318573695152707
19,9.300698,1.0900002,1.3420471624862178,1.3363175,1.036825352473834,1.679846672869889,1.3431751879208083,1.3363175,1.0107598852143456,1.7145855077878602
